Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C309,2.2uF/16V/1608,TopLayer,CAP_1608_(0603_INCH),55.2,33.375,270,Ceramic CAP_2.2uF/16V/1608
C302,100nF/50V/1608,BottomLayer,CAP_1608_(0603_INCH),30.75,4.75,0,Ceramic CAP_100nF/50V/1608
C500,100nF/50V/1608,TopLayer,CAP_1608_(0603_INCH),9.5,28.075,270,Ceramic CAP_100nF/50V/1608
C405,100nF/50V/1608,TopLayer,CAP_1608_(0603_INCH),53.5,23.325,270,Ceramic CAP_100nF/50V/1608
C404,15pF/16V/1608/NC,BottomLayer,CAP_1608_(0603_INCH)/NC,48.5,23.325,270,Ceramic CAP_15pF/16V/1608
C403,100nF/16V/1005,BottomLayer,CAP_1005_(0402_INCH),47.41,18.75,0,Ceramic CAP_100nF/16V/1005
C402,4.7uF/16V/1608,BottomLayer,CAP_1608_(0603_INCH),47.41,20.25,0,Ceramic CAP_4.7uF/16V/1608
C401,100nF/50V/1608,BottomLayer,CAP_1608_(0603_INCH),18.575,23,0,Ceramic CAP_100nF/50V/1608
C400,100nF/50V/1608,BottomLayer,CAP_1608_(0603_INCH),69.75,41.5,0,Ceramic CAP_100nF/50V/1608
C329,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),57.75,9.825,270,Ceramic CAP_10uF/25V/1608
C328,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),55.25,9.825,270,Ceramic CAP_10uF/25V/1608
C327,2.2uF/16V/1608,BottomLayer,CAP_1608_(0603_INCH),52.75,9.825,270,Ceramic CAP_2.2uF/16V/1608
C326,2.2uF/16V/1608,BottomLayer,CAP_1608_(0603_INCH),50.25,9.825,270,Ceramic CAP_2.2uF/16V/1608
C325,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),47.75,9.825,270,Ceramic CAP_10uF/25V/1608
C324,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),45.25,9.825,270,Ceramic CAP_10uF/25V/1608
C323,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),42.75,9.825,270,Ceramic CAP_10uF/25V/1608
C322,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),27,35.5,0,Ceramic CAP_10uF/25V/1608
C321,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),35,40,270,Ceramic CAP_10uF/25V/1608
C320,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),34,43.75,270,Ceramic CAP_10uF/25V/1608
C319,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),32.25,43.75,270,Ceramic CAP_10uF/25V/1608
C318,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),27,40.5,0,Ceramic CAP_10uF/25V/1608
C317,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),31.825,36,0,Ceramic CAP_10uF/25V/1608
C316,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),34.925,36,180,Ceramic CAP_10uF/25V/1608
C315,100nF/50V/1608,BottomLayer,CAP_1608_(0603_INCH),22.25,39.3,90,Ceramic CAP_100nF/50V/1608
C314,1uF/50V/1608,TopLayer,CAP_1608_(0603_INCH),20.25,39.3,90,Ceramic CAP_1uF/50V/1608
C313,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),20.25,39.3,90,Ceramic CAP_10uF/25V/1608
C312,10uF/10V/1608,TopLayer,CAP_1608_(0603_INCH),50.3,30.7,180,Ceramic CAP_10uF/10V/1608
C311,100nF/50V/1608,TopLayer,CAP_1608_(0603_INCH),47,30.7,0,Ceramic CAP_100nF/50V/1608
C310,100nF/50V/1608,TopLayer,CAP_1608_(0603_INCH),53.5,33.375,270,Ceramic CAP_100nF/50V/1608
C308,10uF/10V/1608,TopLayer,CAP_1608_(0603_INCH),56.9,33.375,270,Ceramic CAP_10uF/10V/1608
C307,470pF/50V/1608,TopLayer,CAP_1608_(0603_INCH),46.9,44,270,Ceramic CAP_470pF/50V/1608
C306,100nF/50V/1608,BottomLayer,CAP_1608_(0603_INCH),53.5,43.7,180,Ceramic CAP_100nF/50V/1608
C305,2.2uF/16V/1608,BottomLayer,CAP_1608_(0603_INCH),53.5,45.4,180,Ceramic CAP_2.2uF/16V/1608
C304,10uF/25V/1608,BottomLayer,CAP_1608_(0603_INCH),30.5,43.75,270,Ceramic CAP_10uF/25V/1608
C303,100nF/50V/1608,BottomLayer,CAP_1608_(0603_INCH),28.75,43.75,270,Ceramic CAP_100nF/50V/1608
C301,100nF/50V/1608/NC,BottomLayer,CAP_1608_(0603_INCH)/NC,16.75,4.75,0,Ceramic CAP_100nF/50V/1608
C300,22uF/25V/2012,BottomLayer,CAP_2012_(0805_INCH),18,39,90,Ceramic CAP_22uF/25V/2012
R305,100K/1608,BottomLayer,RES_1608_(0603_inch),30.75,6.75,180,RES_100K/1608/0.1W
R304,100K/1608,BottomLayer,RES_1608_(0603_inch),30.75,8.75,180,RES_100K/1608/0.1W
R303,10K/1608/NC,BottomLayer,RES_1608_(0603_inch)/NC,16.75,8.75,180,RES_10K/1608/0.1W
R306,680R/2012,TopLayer,RES_2012_(0805_inch),11,14.75,0,RES_680R/2012/0.125W
R501,1M/1608,TopLayer,RES_1608_(0603_inch),11.75,28.1,270,RES_1M/1608/0.1W
R500,680R/2012,TopLayer,RES_2012_(0805_inch),11,12.5,0,RES_680R/2012/0.125W
R405,510R/1608,BottomLayer,RES_1608_(0603_inch),89.2625,13.75,180,RES_510R/1608/0.1W
R404,510R/1608,BottomLayer,RES_1608_(0603_inch),83.2458,13.75,180,RES_510R/1608/0.1W
R403,510R/1608,BottomLayer,RES_1608_(0603_inch),77.2291,13.75,180,RES_510R/1608/0.1W
R402,510R/1608,BottomLayer,RES_1608_(0603_inch),71.2125,13.75,180,RES_510R/1608/0.1W
R401,100K/1608,BottomLayer,RES_1608_(0603_inch),18.575,25.5,0,RES_100K/1608/0.1W
R400,100K/1608,BottomLayer,RES_1608_(0603_inch),69.75,44,180,RES_100K/1608/0.1W
R329,510R/1608,BottomLayer,RES_1608_(0603_inch),87.9,34.25,0,RES_510R/1608/0.1W
R328,510R/1608,BottomLayer,RES_1608_(0603_inch),87.9,38.65,180,RES_510R/1608/0.1W
R327,0R/1608,TopLayer,RES_1608_(0603_inch),41.5,22.75,0,RES_0R/1608/0.1W
R326,0R/1608,TopLayer,RES_1608_(0603_inch),41.5,18.75,0,RES_0R/1608/0.1W
R323,100K/1608,TopLayer,RES_1608_(0603_inch),33,44.75,0,RES_100K/1608/0.1W
R325,0R/1608,TopLayer,RES_1608_(0603_inch),29.75,44.75,180,RES_0R/1608/0.1W
R324,0R/1608,TopLayer,RES_1608_(0603_inch),39.1334,35.25,0,RES_0R/1608/0.1W
R322,0R/1608,TopLayer,RES_1608_(0603_inch),41.5,20.75,0,RES_0R/1608/0.1W
R321,0R/1608,TopLayer,RES_1608_(0603_inch),41.5,24.75,0,RES_0R/1608/0.1W
R319,0R/1608,TopLayer,RES_1608_(0603_inch),41.5,26.75,0,RES_0R/1608/0.1W
R320,0R/1608,TopLayer,RES_1608_(0603_inch),48.1,46.7,180,RES_0R/1608/0.1W
R318,1.5K/2012,TopLayer,RES_2012_(0805_inch),42.5,35.25,0,RES_1.5K/2012/0.125W
R317,1.5K/2012,TopLayer,RES_2012_(0805_inch),42.5,38.25,0,RES_1.5K/2012/0.125W
R315,0R/2012,TopLayer,RES_2012_(0805_inch),37.25,44.5,0,RES_0R/2012/0.125W
R313,0R/2012,TopLayer,RES_2012_(0805_inch),37.25,42.25,0,RES_0R/2012/0.125W
R316,330K/1608,TopLayer,RES_1608_(0603_inch),48.1,41.6,0,RES_330K/1608/0.1W
R314,510R/1608,BottomLayer,RES_1608_(0603_inch),87.9,36.45,0,RES_510R/1608/0.1W
R311,0R/2012,TopLayer,RES_2012_(0805_inch),26.625,41.75,180,RES_0R/2012/0.125W
R310,0R/2012,TopLayer,RES_2012_(0805_inch),27.125,32,0,RES_0R/2012/0.125W
R312,200K/1608,TopLayer,RES_1608_(0603_inch),48.67,44,90,RES_200K/1608/0.1W
R309,0R/2012,TopLayer,RES_2012_(0805_inch),47.75,12.5,270,RES_0R/2012/0.125W
R308,0R/2012,TopLayer,RES_2012_(0805_inch),45.25,12.5,270,RES_0R/2012/0.125W
R307,0R/2012,TopLayer,RES_2012_(0805_inch),42.75,12.5,270,RES_0R/2012/0.125W
R302,10K/1608/NC,BottomLayer,RES_1608_(0603_inch)/NC,16.75,6.75,180,RES_10K/1608/0.1W
